Prefix,Base,Name,Opcode1,Opcode2,Opcode3,Offical,Function,Cycles,
ED,A0,LDI,,,,Y,LD_I,16,
ED,B0,LDIR,,,,Y,LD_IR,21,
ED,44,NEG,A,,,Y,NEG,8,
ED,4C,NEG,A,,,N,NEG,8,
ED,54,NEG,A,,,N,NEG,8,
ED,5C,NEG,A,,,N,NEG,8,
ED,64,NEG,A,,,N,NEG,8,
ED,6C,NEG,A,,,N,NEG,8,
ED,74,NEG,A,,,N,NEG,8,
ED,7C,NEG,A,,,N,NEG,8,
,0,NOP,,,,Y,NOP,4,
,B0,OR,A,ByteReg | 1,,Y,OR,4,
,B6,OR,A,(HL),,Y,OR,7,
,F6,OR,A,Byte | ByteImmidate,,Y,OR,7,
FD,B0,OR,A,ByteIndexReg | 1,,X,OR,,
FD,B6,OR,A,(IX/IY),,Y,OR,19,
ED,BB,OTDR,,,,Y,OUT_DR,21,
ED,B3,OTIR,,,,Y,OUT_IR,21,
,D3,OUT,Byte | ByteImmidate,A,,Y,OUT,11,
ED,41,OUT,C,ByteReg | 2,,Y,OUT,12,
ED,71,OUT,C,0,,X,OUT,,
ED,AB,OUTD,,,,Y,OUT_D,16,
ED,A3,OUTI,,,,Y,OUT_I,16,
,C1,POP,WordRegF | 3,,,Y,POP,10,
FD,E1,POP,IX/IY,,,Y,POP,14,
,C5,PUSH,WordRegF | 3,,,Y,PUSH,11,
FD,E5,PUSH,IX/IY,,,Y,PUSH,15,
CB,80,RES,Encoded | 2,ByteReg | 1,,Y,RES,8,
CB,86,RES,Encoded | 2,(HL),,Y,RES,4,
FDCB,80,RES,Encoded | 2,(IX/IY),ByteReg | 1,X,RES,,
FDCB,86,RES,Encoded | 2,(IX/IY),,Y,RES,6,
,C0,RET,Flag | 2,,,Y,RET,11,
,C9,RET,,,,Y,RET,10,
ED,4D,RETI,,,,Y,RETI,14,
ED,45,RETN,,,,Y,RETN,14,
ED,55,RETN,,,,N,RETN,14,
ED,5D,RETN,,,,N,RETN,14,
ED,65,RETN,,,,N,RETN,14,
ED,6D,RETN,,,,N,RETN,14,
ED,75,RETN,,,,N,RETN,14,
ED,7D,RETN,,,,N,RETN,14,
CB,10,RL,ByteReg | 1,,,Y,RL,8,
CB,16,RL,(HL),,,Y,RL,15,
FDCB,10,RL,(IX/IY),ByteReg | 1,,X,RL,,
FDCB,16,RL,(IX/IY),,,Y,RL,23,
,17,RLA,,,,Y,RL_A,4,
CB,0,RLC,ByteReg | 1,,,Y,RL_CY,8,
CB,6,RLC,(HL),,,Y,RL_CY,15,
FDCB,0,RLC,(IX/IY),ByteReg | 1,,X,RL_CY,,
FDCB,6,RLC,(IX/IY),,,Y,RL_CY,23,
,7,RLCA,,,,Y,RL_A_CY,4,
ED,6F,RLD,,,,Y,ROLL_L,19,
CB,18,RR,ByteReg | 1,,,Y,RR,8,
CB,1E,RR,(HL),,,Y,RR,15,
FDCB,18,RR,(IX/IY),ByteReg | 1,,X,RR,,
FDCB,1E,RR,(IX/IY),,,Y,RR,23,
,1F,RRA,,,,Y,RR_A,4,
CB,8,RRC,ByteReg | 1,,,Y,RR_CY,8,
CB,E,RRC,(HL),,,Y,RR_CY,15,
FDCB,8,RRC,(IX/IY),ByteReg | 1,,X,RR_CY,,
FDCB,E,RRC,(IX/IY),,,Y,RR_CY,23,
,0F,RRCA,,,,Y,RR_A_CY,4,
ED,67,RRD,,,,Y,ROLL_R,18,
,C7,RST,Encoded | 2,,,Y,RST,11,
,98,SBC,A,ByteReg | 1,,Y,SUB-C,4,
,9E,SBC,A,(HL),,Y,SUB-C,7,
,DE,SBC,A,Byte | ByteImmidate,,Y,SUB-C,7,
ED,42,SBC,HL,WordReg | 3,,Y,SUB-C,15,
FD,98,SBC,A,ByteIndexReg | 1,,X,SUB-C,,
FD,9E,SBC,A,(IX/IY),,Y,SUB-C,19,
,37,SCF,,,,Y,CY_SET,4,
CB,C0,SET,Encoded | 2,ByteReg | 1,,Y,SET,8,
CB,C6,SET,Encoded | 2,(HL),,Y,SET,15,
FDCB,C0,SET,Encoded | 2,(IX/IY),ByteReg | 1,X,SET,,
FDCB,C6,SET,Encoded | 2,(IX/IY),,Y,SET,23,
CB,20,SLA,ByteReg | 1,,,Y,SL_Signed,8,
CB,26,SLA,(HL),,,Y,SL_Signed,15,
FDCB,20,SLA,(IX/IY),ByteReg | 1,,X,SL_Signed,,
FDCB,26,SLA,(IX/IY),,,Y,SL_Signed,22,
CB,30,SLL,ByteReg | 1,,,X,SL_L,8,
CB,36,SLL,(HL),,,X,SL_L,15,
FDCB,30,SLL,(IX/IY),ByteReg | 1,,X,SL_L,,
FDCB,36,SLL,(IX/IY),,,X,SL_L,22,
CB,28,SRA,ByteReg | 1,,,Y,SR_Signed,8,
CB,2E,SRA,(HL),,,Y,SR_Signed,15,
FDCB,28,SRA,(IX/IY),ByteReg | 1,,X,SR_Signed,,
FDCB,2E,SRA,(IX/IY),,,Y,SR_Signed,22,
CB,38,SRL,ByteReg | 1,,,Y,SR_L,8,
CB,3E,SRL,(HL),,,Y,SR_L,15,
FDCB,38,SRL,(IX/IY),ByteReg | 1,,X,SR_L,,
FDCB,3E,SRL,(IX/IY),,,Y,SR_L,22,
,90,SUB,A,ByteReg | 1,,Y,SUB,4,
,96,SUB,A,(HL),,Y,SUB,7,
,D6,SUB,A,Byte | ByteImmidate,,Y,SUB,7,
FD,90,SUB,A,ByteIndexReg | 1,,X,SUB,,
FD,96,SUB,A,(IX/IY),,Y,SUB,19,
,A8,XOR,A,ByteReg | 1,,Y,XOR,4,
,AE,XOR,A,(HL),,Y,XOR,7,
,EE,XOR,A,Byte | ByteImmidate,,Y,XOR,7,
FD,A8,XOR,A,ByteIndexReg | 1,,X,XOR,,
FD,AE,XOR,A,(IX/IY),,Y,XOR,19,
