Prefix,Base,Name,Opcode1,Opcode2,Opcode3,Offical,Function,,
ED,43,LD,AddressPtr | Immidate,WordReg | 3,,Y,LD,,
ED,44,NEG,A,,,Y,NEG,,
ED,45,RETN,,,,Y,RETN,,
ED,46,IM,0,,,Y,IM,,
ED,47,LD,I,A,,Y,LD,,
ED,4A,ADC,HL,WordReg | 3,,Y,ADDC,,
ED,4B,LD,WordReg | 3,AddressPtr | Immidate,,Y,LD,,
ED,4C,NEG,A,,,N,NEG,,
ED,4D,RETI,,,,Y,RETI,,
ED,4E,IM,0,,,N,IM,,
ED,4F,LD,R,A,,Y,LD,,
ED,54,NEG,A,,,N,NEG,,
ED,55,RETN,,,,N,RETN,,
ED,56,IM,1,,,Y,IM,,
ED,57,LD,A,I,,Y,LD,,
ED,5C,NEG,A,,,N,NEG,,
ED,5D,RETN,,,,N,RETN,,
ED,5E,IM,2,,,Y,IM,,
ED,5F,LD,A,R,,Y,LD,,
ED,63,LD,AddressPtr | Immidate,HL,,N,LD,,
ED,64,NEG,A,,,N,NEG,,
ED,65,RETN,,,,N,RETN,,
ED,66,IM,0,,,N,IM,,
ED,67,RRD,,,,Y,ROLL_R,,
ED,6B,LD,HL,AddressPtr | Immidate,,N,LD,,
ED,6C,NEG,A,,,N,NEG,,
ED,6D,RETN,,,,N,RETN,,
ED,6E,IM,0,,,N,IM,,
ED,6E,IM,0,,,N,IM,,
ED,6F,RLD,,,,Y,ROLL_L,,
ED,70,IN,C,,,X,IN,,
ED,71,OUT,C,0,,X,OUT,,
ED,74,NEG,A,,,N,NEG,,
ED,75,RETN,,,,N,RETN,,
ED,76,IM,1,,,N,IM,,
ED,7C,NEG,A,,,N,NEG,,
ED,7D,RETN,,,,N,RETN,,
ED,7E,IM,2,,,N,IM,,
ED,A0,LDI,,,,Y,LD_I,,
ED,A1,CPI,,,,Y,CMP_I,,
ED,A2,INI,,,,Y,IN_I,,
ED,A3,OUTI,,,,Y,OUT_I,,
ED,A8,LDD,,,,Y,LD_D,,
ED,A9,CPD,,,,Y,CMP_D,,
ED,AA,IND,,,,Y,IN_D,,
ED,AB,OUTD,,,,Y,OUT_D,,
ED,B0,LDIR,,,,Y,LD_IR,,
ED,B1,CPIR,,,,Y,CMP_IR,,
ED,B2,INIR,,,,Y,IN_IR,,
ED,B3,OTIR,,,,Y,OUT_IR,,
ED,B8,LDDR,,,,Y,LD_DR,,
ED,B9,CPDR,,,,Y,CMP_DR,,
ED,BA,INDR,,,,Y,IN_DR,,
ED,BB,OTDR,,,,Y,OUT_DR,,
