Prefix,HEX,DEC,Opcode,Param1,Param2,7,6,5,4,3,2,1,0,BIN,Immediate,Official,Memory,IX/IY,Assume A
,44,68,LD,B,H,0,1,0,0,0,1,0,0,01000100,N,Y,N,X,N
,45,69,LD,B,L,0,1,0,0,0,1,0,1,01000101,N,Y,N,X,N
,46,70,LD,B,(HL),0,1,0,0,0,1,1,0,01000110,N,Y,Y,Y,N
,47,71,LD,B,A,0,1,0,0,0,1,1,1,01000111,N,Y,N,N,N
,48,72,LD,C,B,0,1,0,0,1,0,0,0,01001000,N,Y,N,N,N
,49,73,LD,C,C,0,1,0,0,1,0,0,1,01001001,N,Y,N,N,N
,4A,74,LD,C,D,0,1,0,0,1,0,1,0,01001010,N,Y,N,N,N
,4B,75,LD,C,E,0,1,0,0,1,0,1,1,01001011,N,Y,N,N,N
,4C,76,LD,C,H,0,1,0,0,1,1,0,0,01001100,N,Y,N,X,N
,4D,77,LD,C,L,0,1,0,0,1,1,0,1,01001101,N,Y,N,X,N
,4E,78,LD,C,(HL),0,1,0,0,1,1,1,0,01001110,N,Y,Y,Y,N
,4F,79,LD,C,A,0,1,0,0,1,1,1,1,01001111,N,Y,N,N,N
,50,80,LD,D,B,0,1,0,1,0,0,0,0,01010000,N,Y,N,N,N
,51,81,LD,D,C,0,1,0,1,0,0,0,1,01010001,N,Y,N,N,N
,52,82,LD,D,D,0,1,0,1,0,0,1,0,01010010,N,Y,N,N,N
,53,83,LD,D,E,0,1,0,1,0,0,1,1,01010011,N,Y,N,N,N
,54,84,LD,D,H,0,1,0,1,0,1,0,0,01010100,N,Y,N,X,N
,55,85,LD,D,L,0,1,0,1,0,1,0,1,01010101,N,Y,N,X,N
,56,86,LD,D,(HL),0,1,0,1,0,1,1,0,01010110,N,Y,Y,Y,N
,57,87,LD,D,A,0,1,0,1,0,1,1,1,01010111,N,Y,N,N,N
,58,88,LD,E,B,0,1,0,1,1,0,0,0,01011000,N,Y,N,N,N
,59,89,LD,E,C,0,1,0,1,1,0,0,1,01011001,N,Y,N,N,N
,5A,90,LD,E,D,0,1,0,1,1,0,1,0,01011010,N,Y,N,N,N
,5B,91,LD,E,E,0,1,0,1,1,0,1,1,01011011,N,Y,N,N,N
,5C,92,LD,E,H,0,1,0,1,1,1,0,0,01011100,N,Y,N,X,N
,5D,93,LD,E,L,0,1,0,1,1,1,0,1,01011101,N,Y,N,X,N
,5E,94,LD,E,(HL),0,1,0,1,1,1,1,0,01011110,N,Y,Y,Y,N
,5F,95,LD,E,A,0,1,0,1,1,1,1,1,01011111,N,Y,N,N,N
,60,96,LD,H,B,0,1,1,0,0,0,0,0,01100000,N,Y,N,X,N
,61,97,LD,H,C,0,1,1,0,0,0,0,1,01100001,N,Y,N,X,N
,62,98,LD,H,D,0,1,1,0,0,0,1,0,01100010,N,Y,N,X,N
,63,99,LD,H,E,0,1,1,0,0,0,1,1,01100011,N,Y,N,X,N
,64,100,LD,H,H,0,1,1,0,0,1,0,0,01100100,N,Y,N,X,N
,65,101,LD,H,L,0,1,1,0,0,1,0,1,01100101,N,Y,N,X,N
,66,102,LD,H,(HL),0,1,1,0,0,1,1,0,01100110,N,Y,Y,Y,N
,67,103,LD,H,A,0,1,1,0,0,1,1,1,01100111,N,Y,N,X,N
,68,104,LD,L,B,0,1,1,0,1,0,0,0,01101000,N,Y,N,X,N
,69,105,LD,L,C,0,1,1,0,1,0,0,1,01101001,N,Y,N,X,N
,6A,106,LD,L,D,0,1,1,0,1,0,1,0,01101010,N,Y,N,X,N
,6B,107,LD,L,E,0,1,1,0,1,0,1,1,01101011,N,Y,N,X,N
,6C,108,LD,L,H,0,1,1,0,1,1,0,0,01101100,N,Y,N,X,N
,6D,109,LD,L,L,0,1,1,0,1,1,0,1,01101101,N,Y,N,X,N
,6E,110,LD,L,(HL),0,1,1,0,1,1,1,0,01101110,N,Y,Y,Y,N
,6F,111,LD,L,A,0,1,1,0,1,1,1,1,01101111,N,Y,N,X,N
,70,112,LD,(HL),B,0,1,1,1,0,0,0,0,01110000,N,Y,Y,Y,N
,71,113,LD,(HL),C,0,1,1,1,0,0,0,1,01110001,N,Y,Y,Y,N
,72,114,LD,(HL),D,0,1,1,1,0,0,1,0,01110010,N,Y,Y,Y,N
,73,115,LD,(HL),E,0,1,1,1,0,0,1,1,01110011,N,Y,Y,Y,N
,74,116,LD,(HL),H,0,1,1,1,0,1,0,0,01110100,N,Y,Y,Y,N
,75,117,LD,(HL),L,0,1,1,1,0,1,0,1,01110101,N,Y,Y,Y,N
,76,118,HALT,,,0,1,1,1,0,1,1,0,01110110,N,Y,N,N,N
,77,119,LD,(HL),A,0,1,1,1,0,1,1,1,01110111,N,Y,Y,Y,N
,78,120,LD,A,B,0,1,1,1,1,0,0,0,01111000,N,Y,N,N,N
,79,121,LD,A,C,0,1,1,1,1,0,0,1,01111001,N,Y,N,N,N
,7A,122,LD,A,D,0,1,1,1,1,0,1,0,01111010,N,Y,N,N,N
,7B,123,LD,A,E,0,1,1,1,1,0,1,1,01111011,N,Y,N,N,N
,7C,124,LD,A,H,0,1,1,1,1,1,0,0,01111100,N,Y,N,X,N
,7D,125,LD,A,L,0,1,1,1,1,1,0,1,01111101,N,Y,N,X,N
,7E,126,LD,A,(HL),0,1,1,1,1,1,1,0,01111110,N,Y,Y,Y,N
,7F,127,LD,A,A,0,1,1,1,1,1,1,1,01111111,N,Y,N,N,N
,80,128,ADD,A,B,1,0,0,0,0,0,0,0,10000000,N,Y,N,N,Y
,81,129,ADD,A,C,1,0,0,0,0,0,0,1,10000001,N,Y,N,N,Y
,82,130,ADD,A,D,1,0,0,0,0,0,1,0,10000010,N,Y,N,N,Y
,83,131,ADD,A,E,1,0,0,0,0,0,1,1,10000011,N,Y,N,N,Y
,84,132,ADD,A,H,1,0,0,0,0,1,0,0,10000100,N,Y,N,X,Y
,85,133,ADD,A,L,1,0,0,0,0,1,0,1,10000101,N,Y,N,X,Y
,86,134,ADD,A,(HL),1,0,0,0,0,1,1,0,10000110,N,Y,Y,Y,Y
,87,135,ADD,A,A,1,0,0,0,0,1,1,1,10000111,N,Y,N,N,Y
,88,136,ADC,A,B,1,0,0,0,1,0,0,0,10001000,N,Y,N,N,Y
,89,137,ADC,A,C,1,0,0,0,1,0,0,1,10001001,N,Y,N,N,Y
,8A,138,ADC,A,D,1,0,0,0,1,0,1,0,10001010,N,Y,N,N,Y
,8B,139,ADC,A,E,1,0,0,0,1,0,1,1,10001011,N,Y,N,N,Y
,8C,140,ADC,A,H,1,0,0,0,1,1,0,0,10001100,N,Y,N,X,Y
,8D,141,ADC,A,L,1,0,0,0,1,1,0,1,10001101,N,Y,N,X,Y
,8E,142,ADC,A,(HL),1,0,0,0,1,1,1,0,10001110,N,Y,Y,Y,Y
,8F,143,ADC,A,A,1,0,0,0,1,1,1,1,10001111,N,Y,N,N,Y
,90,144,SUB,A,B,1,0,0,1,0,0,0,0,10010000,N,Y,N,N,Y
,91,145,SUB,A,C,1,0,0,1,0,0,0,1,10010001,N,Y,N,N,Y
,92,146,SUB,A,D,1,0,0,1,0,0,1,0,10010010,N,Y,N,N,Y
,93,147,SUB,A,E,1,0,0,1,0,0,1,1,10010011,N,Y,N,N,Y
,94,148,SUB,A,H,1,0,0,1,0,1,0,0,10010100,N,Y,N,X,Y
,95,149,SUB,A,L,1,0,0,1,0,1,0,1,10010101,N,Y,N,X,Y
,96,150,SUB,A,(HL),1,0,0,1,0,1,1,0,10010110,N,Y,Y,Y,Y
,97,151,SUB,A,A,1,0,0,1,0,1,1,1,10010111,N,Y,N,N,Y
,98,152,SBC,A,B,1,0,0,1,1,0,0,0,10011000,N,Y,N,N,Y
,99,153,SBC,A,C,1,0,0,1,1,0,0,1,10011001,N,Y,N,N,Y
,9A,154,SBC,A,D,1,0,0,1,1,0,1,0,10011010,N,Y,N,N,Y
,9B,155,SBC,A,E,1,0,0,1,1,0,1,1,10011011,N,Y,N,N,Y
,9C,156,SBC,A,H,1,0,0,1,1,1,0,0,10011100,N,Y,N,X,Y
,9D,157,SBC,A,L,1,0,0,1,1,1,0,1,10011101,N,Y,N,X,Y
,9E,158,SBC,A,(HL),1,0,0,1,1,1,1,0,10011110,N,Y,Y,Y,Y
,9F,159,SBC,A,A,1,0,0,1,1,1,1,1,10011111,N,Y,N,N,Y
,A0,160,AND,A,B,1,0,1,0,0,0,0,0,10100000,N,Y,N,N,Y
,A1,161,AND,A,C,1,0,1,0,0,0,0,1,10100001,N,Y,N,N,Y
,A2,162,AND,A,D,1,0,1,0,0,0,1,0,10100010,N,Y,N,N,Y
,A3,163,AND,A,E,1,0,1,0,0,0,1,1,10100011,N,Y,N,N,Y
,A4,164,AND,A,H,1,0,1,0,0,1,0,0,10100100,N,Y,N,X,Y
,A5,165,AND,A,L,1,0,1,0,0,1,0,1,10100101,N,Y,N,X,Y
,A6,166,AND,A,(HL),1,0,1,0,0,1,1,0,10100110,N,Y,Y,Y,Y
,A7,167,AND,A,A,1,0,1,0,0,1,1,1,10100111,N,Y,N,N,Y
,A8,168,XOR,A,B,1,0,1,0,1,0,0,0,10101000,N,Y,N,N,Y
,A9,169,XOR,A,C,1,0,1,0,1,0,0,1,10101001,N,Y,N,N,Y
,AA,170,XOR,A,D,1,0,1,0,1,0,1,0,10101010,N,Y,N,N,Y
,AB,171,XOR,A,E,1,0,1,0,1,0,1,1,10101011,N,Y,N,N,Y
,AC,172,XOR,A,H,1,0,1,0,1,1,0,0,10101100,N,Y,N,X,Y
,AD,173,XOR,A,L,1,0,1,0,1,1,0,1,10101101,N,Y,N,X,Y
,AE,174,XOR,A,(HL),1,0,1,0,1,1,1,0,10101110,N,Y,Y,Y,Y
,AF,175,XOR,A,A,1,0,1,0,1,1,1,1,10101111,N,Y,N,N,Y
,B0,176,OR,A,B,1,0,1,1,0,0,0,0,10110000,N,Y,N,N,Y
,B1,177,OR,A,C,1,0,1,1,0,0,0,1,10110001,N,Y,N,N,Y
,B2,178,OR,A,D,1,0,1,1,0,0,1,0,10110010,N,Y,N,N,Y
,B3,179,OR,A,E,1,0,1,1,0,0,1,1,10110011,N,Y,N,N,Y
,B4,180,OR,A,H,1,0,1,1,0,1,0,0,10110100,N,Y,N,X,Y
,B5,181,OR,A,L,1,0,1,1,0,1,0,1,10110101,N,Y,N,X,Y
,B6,182,OR,A,(HL),1,0,1,1,0,1,1,0,10110110,N,Y,Y,Y,Y
,B7,183,OR,A,A,1,0,1,1,0,1,1,1,10110111,N,Y,N,N,Y
,B8,184,CP,A,B,1,0,1,1,1,0,0,0,10111000,N,Y,N,N,Y
,B9,185,CP,A,C,1,0,1,1,1,0,0,1,10111001,N,Y,N,N,Y
,BA,186,CP,A,D,1,0,1,1,1,0,1,0,10111010,N,Y,N,N,Y
,BB,187,CP,A,E,1,0,1,1,1,0,1,1,10111011,N,Y,N,N,Y
,BC,188,CP,A,H,1,0,1,1,1,1,0,0,10111100,N,Y,N,X,Y
,BD,189,CP,A,L,1,0,1,1,1,1,0,1,10111101,N,Y,N,X,Y
,BE,190,CP,A,(HL),1,0,1,1,1,1,1,0,10111110,N,Y,Y,Y,Y
,BF,191,CP,A,A,1,0,1,1,1,1,1,1,10111111,N,Y,N,N,Y
,C0,192,RET,NZ,,1,1,0,0,0,0,0,0,11000000,N,Y,N,N,N
,C1,193,POP,BC,,1,1,0,0,0,0,0,1,11000001,N,Y,N,N,N
,C2,194,JP,NZ,nn,1,1,0,0,0,0,1,0,11000010,Y,Y,N,N,N
,C3,195,JP,nn,,1,1,0,0,0,0,1,1,11000011,Y,Y,N,N,N
,C4,196,CALL,NZ,nn,1,1,0,0,0,1,0,0,11000100,Y,Y,Y,N,N
,C5,197,PUSH,BC,,1,1,0,0,0,1,0,1,11000101,N,Y,N,N,N
,C6,198,ADD,A,n,1,1,0,0,0,1,1,0,11000110,Y,Y,N,N,Y
,C7,199,RST,0H,,1,1,0,0,0,1,1,1,11000111,N,Y,N,N,N
,C8,200,RET,Z,,1,1,0,0,1,0,0,0,11001000,N,Y,N,N,N
,C9,201,RET,,,1,1,0,0,1,0,0,1,11001001,N,Y,N,N,N
,CA,202,JP,Z,nn,1,1,0,0,1,0,1,0,11001010,Y,Y,N,N,N
,CC,204,CALL,Z,nn,1,1,0,0,1,1,0,0,11001100,Y,Y,Y,N,N
,CD,205,CALL,nn,,1,1,0,0,1,1,0,1,11001101,Y,Y,Y,N,N
,CE,206,ADC,A,n,1,1,0,0,1,1,1,0,11001110,Y,Y,N,N,Y
,CF,207,RST,8H,,1,1,0,0,1,1,1,1,11001111,N,Y,N,N,N
,D0,208,RET,NC,,1,1,0,1,0,0,0,0,11010000,N,Y,N,N,N
,D1,209,POP,DE,,1,1,0,1,0,0,0,1,11010001,N,Y,N,N,N
,D2,210,JP,NC,nn,1,1,0,1,0,0,1,0,11010010,Y,Y,N,N,N
,D3,211,OUT,(n),A,1,1,0,1,0,0,1,1,11010011,Y,Y,N,N,Y
,D4,212,CALL,NC,nn,1,1,0,1,0,1,0,0,11010100,Y,Y,Y,N,N
,D5,213,PUSH,DE,,1,1,0,1,0,1,0,1,11010101,N,Y,N,N,N
,D6,214,SUB,A,n,1,1,0,1,0,1,1,0,11010110,N,Y,N,N,Y
,D7,215,RST,10H,,1,1,0,1,0,1,1,1,11010111,N,Y,N,N,N
,D8,216,RET,CY,,1,1,0,1,1,0,0,0,11011000,N,Y,N,N,N
,D9,217,EXX,,,1,1,0,1,1,0,0,1,11011001,N,Y,N,N,N
,DA,218,JP,CY,nn,1,1,0,1,1,0,1,0,11011010,Y,Y,N,N,N
,DB,219,IN,A,(n),1,1,0,1,1,0,1,1,11011011,Y,Y,N,N,Y
,DC,220,CALL,CY,nn,1,1,0,1,1,1,0,0,11011100,Y,Y,Y,N,N
,DE,222,SBC,A,n,1,1,0,1,1,1,1,0,11011110,Y,Y,N,N,Y
,DF,223,RST,18H,,1,1,0,1,1,1,1,1,11011111,N,Y,N,N,N
,E0,224,RET,PO,,1,1,1,0,0,0,0,0,11100000,N,Y,N,N,N
,E1,225,POP,HL,,1,1,1,0,0,0,0,1,11100001,N,Y,N,Y - No Displacment,N
,E2,226,JP,PO,nn,1,1,1,0,0,0,1,0,11100010,Y,Y,N,N,N
,E3,227,EX,(SP),HL,1,1,1,0,0,0,1,1,11100011,N,Y,Y,Y - No Displacment,N
,E4,228,CALL,PO,nn,1,1,1,0,0,1,0,0,11100100,Y,Y,Y,N,N
,E5,229,PUSH,HL,,1,1,1,0,0,1,0,1,11100101,N,Y,N,Y - No Displacment,N
,E6,230,AND,A,n,1,1,1,0,0,1,1,0,11100110,N,Y,N,N,Y
